Front,Back,Tags
"¿Qué es el espectro electromagnético?","Un continuo infinito de frecuencias (más de 20–24 órdenes de magnitud) gobernado por las ecuaciones de Maxwell. La física subyacente es idéntica en todo el rango; solo cambia la energía por fotón (E = hf).","espectro-em concepto-basico"
"¿Por qué las fronteras entre regiones (radio, microondas, IR, visible, UV, X, γ) son convencionales?","Porque la frecuencia es una variable real continua: entre dos frecuencias cualesquiera hay infinitas intermedias, y Maxwell admite cualquier f ≥ 0. No hay frecuencias 'prohibidas'.","espectro-em concepto-basico"
"¿Cuál es la variable maestra que determina interacción con materia, peligrosidad, generación y detección?","La energía del fotón: E = hf = hc/λ. Mayor frecuencia → menor longitud de onda → mayor energía.","espectro-em concepto-basico"
"¿Cuál es el umbral aproximado entre radiación ionizante y no ionizante?","~10 eV (UV lejano, ~100–280 nm). < 10 eV: solo calentamiento (radio → visible). > 10 eV: rompen enlaces químicos y dañan ADN (UV extremo → γ).","espectro-em ionizante"
"¿Qué fracción del espectro EM perciben los humanos?","La luz visible (380–700 nm, ~430–790 THz) es apenas ~1 octava de ~80 octavas totales (99.9999% del espectro es invisible para nosotros).","espectro-em percepcion"
"¿Por qué vemos la luz visible y no otra banda?","Coincidencia evolutiva: el Sol emite su pico de potencia en ~550 nm (verde-amarillo) y nuestros ojos evolucionaron para aprovechar esa banda de máxima disponibilidad.","espectro-em percepcion"
"¿Qué revela cada región del espectro en astronomía?","Radio: gas frío y púlsares. IR: polvo y galaxias oscurecidas. Visible: estrellas como el Sol. UV: estrellas masivas calientes. X: gas caliente (>10⁶ K) y agujeros negros. γ: eventos más violentos (GRBs, fusiones de estrellas de neutrones).","espectro-em astronomia"
"¿Qué es la brecha de terahercios?","Región entre 0.1–30 THz (entre microondas e IR lejano), históricamente difícil de generar/detectar. Hoy se cierra con láseres de cascada cuántica; aplicaciones: imagen médica no ionizante, comunicaciones >200 Gbps, biosensores.","espectro-em tecnologia"
"Relación fundamental: c = λf y E = hf = hc/λ. Si f aumenta, ¿qué pasa con λ y E?","λ disminuye (inversamente proporcional) y E aumenta (proporcional directa). Ej: radio (MHz, m, μeV) vs γ (>30 EHz, <0.01 nm, >100 keV).","espectro-em formulas"
"Ondas de radio: rango de frecuencia, longitud de onda, energía, ejemplo de uso.","3 Hz – 300 MHz; λ > 1 m (hasta km); E < 1.24 μeV. Uso: radio AM/FM, TV, radioastronomía (púlsares, línea HI 21 cm), submarinos (ELF 3–30 Hz).","espectro-em tabla-radio"
"UHF / Radio alta: rango, λ, energía, ejemplo de uso.","300 MHz – 3 GHz; λ 10 cm – 1 m; E 1.24 μeV – 12.4 μeV. Uso: telefonía móvil (700 MHz–2.6 GHz), GPS (1.2–1.6 GHz), Wi-Fi 2.4 GHz, Bluetooth.","espectro-em tabla-radio"
"Microondas: rango, λ, energía, fuentes naturales, ejemplo de uso.","3 GHz – 300 GHz; λ 1 mm – 10 cm; E 12.4 μeV – 1.24 meV. Fuentes: CMB (~2.725 K, pico 160 GHz), moléculas interestelares. Uso: hornos (2.45 GHz), radar, Wi-Fi 5/6 GHz, 5G mmWave, satélite.","espectro-em tabla-microondas"
